Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
77,C1055,00FK,Derby UA,EAST MIDLANDS,102,27,9,7,4,1,0,48,0.5,3,50,2,103,1,0,27,0,0,28,0.3,41
84,P1045,17UF,Derbyshire Dales,EAST MIDLANDS,30,14,0,0,0,0,0,14,0.5,2,16,13,45,0,0,10,0,0,10,0.3,13
121,C3240,00GF,Telford and Wrekin UA,WEST MIDLANDS,67,29,2,0,0,0,0,31,0.5,2,1,2,36,8,5,9,29,4,55,0.8,0
129,Z3445,41UK,Tamworth,WEST MIDLANDS,31,15,0,0,0,0,1,16,0.5,1,2,7,26,0,0,1,4,0,5,0.2,0
131,W3710,44UC,Nuneaton and Bedworth,WEST MIDLANDS,51,25,1,1,0,0,0,27,0.5,7,0,3,37,0,6,0,0,0,6,0.1,0
132,E3715,44UD,Rugby,WEST MIDLANDS,39,19,1,1,0,0,0,21,0.5,5,0,2,28,0,0,7,0,0,7,0.2,13
143,J1860,47UC,Malvern Hills,WEST MIDLANDS,32,16,0,0,0,0,0,16,0.5,0,1,1,18,0,0,0,0,8,8,0.3,8
148,4,G,EAST of ENGLAND,EAST of ENGLAND,"2,406",900,100,70,20,20,40,"1,150",0.5,190,220,480,"2,030",200,540,900,710,250,"2,600",1.1,180
152,J0540,00JA,Peterborough UA,EAST of ENGLAND,72,29,6,3,0,0,1,39,0.5,31,66,75,211,1,65,0,0,0,66,0.9,0
161,Z1510,22UC,Braintree,EAST of ENGLAND,60,25,2,2,0,1,0,30,0.5,6,9,15,60,0,11,21,0,0,32,0.5,17
164,W1525,22UF,Chelmsford,EAST of ENGLAND,70,31,1,1,1,1,0,35,0.5,4,4,12,55,7,16,8,0,14,45,0.6,12
184,U2615,33UD,Great Yarmouth,EAST of ENGLAND,42,--,--,--,--,--,--,21,0.5,--,--,--,--,--,--,--,--,--,67,1.6,--
187,G2625,33UG,Norwich,EAST of ENGLAND,62,28,3,0,0,2,0,33,0.5,18,19,17,87,17,2,0,0,21,40,0.6,21
191,R3515,42UD,Ipswich,EAST of ENGLAND,55,14,3,0,2,1,6,26,0.5,3,0,4,33,5,18,16,0,0,39,0.7,0
